"
Name
","
Type (Property or Header)
","
Related Component
","
Description
"
"Archived-At","Header","Mail adapter","Specifies a link to the archived form of an e-mail."
"CamelAggregatedCompletedBy","Header","Aggregator","Is relevant for use cases with message aggregation. 
The header attribute can only have one of the following values: 


timeout 
Processing of the aggregate has been stopped because the
configured Completion Timeout has been reached. 


predicate 
Processing of the aggregate has finished because the
Completion Condition has been met. 

"
"CamelCharsetName","Property","Encoder
Content Modifier","Specifies the character encoding to be applied for message processing. You can override
the character encoding and avoid encoding issues when you use
special characters."
"CamelFileName","Header","SFTP Receiver adapter","Overrides the existing file and directory name that is set
directly in the endpoint. 
You can use this header to dynamically change the name of the
file and directory to be called.
If you do not enter a file name in the SFTP receiver adapter, the
content of the CamelFileName header (if set) is
used as file name. If this header is not specified, the Exchange
ID is used as file name."
"CamelFileNameOnly","Header","SFTP Sender adapter","Defines that only the file name (the name with no leading paths)
is consumed."
"CamelFileParent","Header","SFTP Sender adapter","Technical header required to support proper archiving in
post-processing used by the SFTP Sender adapter."
"CamelHttpMethod","Header","HTTPS Sender adapter","Refers to the HTTP method name of the incoming request
(GET, POST,
PUT, DELETE,
and so on).
The HTTPS sender adapter sets this header."
"CamelHttpPath","Header","HTTPS Sender adapter","Refers to the dynamic part of the URL path of the integration
flow endpoint.
As an example, assume that you specify the endpoint address (in
the sender adapter) as /myEndpoint/*. 
A sender system calls this integration flow using the address
/myEndpoint/abc/def.
In this case, header CamelHttpPath gets the
value abc/def."
"CamelHttpQuery","Header","HTTPS Sender adapter
HTTP Receiver adapter","Refers to the query string that is contained in the request URL
(for example, CamelHttpQuery=abcd=1234).
The HTTPS sender adapter sets this header. 
In the context of a receiver adapter, this header can be used to
dynamically change the URI to be called. "
"CamelHttpResponseCode","Header","HTTPS Sender adapter","You can use this header to manually set the HTTP response status
code."
"CamelHttpUri","Header","HTTPS Sender adapter
HTTP Receiver adapter","Overrides the existing URI set directly in the endpoint. 
You can use this header to dynamically change the URI to be
called. "
"CamelHttpUrl","Header","HTTPS Sender adapter
HTTP Receiver adapter","Refers to the complete URL called, without query parameters.
For example,
CamelHttpUrl=https://test.bsn.neo.ondemand.com/http/hello.
"
